Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Category
12,47,12-47,dayofyear_sin,0.995827019,12-91,12-92,12-92,2880.19531,313.0,
12,48,12-48,depok_air_lag8,170.0,12-93,12-94,12-94,12094.4219,5130.0,
12,49,12-49,manggarai_air_lag9,570.0,12-95,12-96,12-96,5177.50781,382.0,
12,50,12-50,depok_air_lag8,155.0,12-97,12-98,12-98,9520.59375,2034.0,
12,51,12-51,manggarai_air_lag6,670.0,12-99,12-100,12-100,1637.30859,104.0,
12,52,12-52,manggarai_air_lag3,694.0,12-101,12-102,12-102,52.3828125,15.0,
12,53,12-53,manggarai_air_lag1,705.0,12-103,12-104,12-104,3450.53125,509.0,
12,54,12-54,depok_air_lag3,275.0,12-105,12-106,12-106,119.65625,29.0,
12,55,12-55,depok_air_lag8,150.0,12-107,12-108,12-108,3072.57812,455.0,
12,56,12-56,manggarai_air_lag9,675.0,12-109,12-110,12-110,32981.3203,29.0,
12,57,12-57,depok_air_lag12,145.0,12-111,12-112,12-112,3021.09375,388.0,
12,58,12-58,depok_air_lag12,225.0,12-113,12-114,12-114,53.7265625,58.0,
12,59,12-59,depok_air_lag16,155.0,12-115,12-116,12-116,1324.46875,133.0,
12,60,12-60,depok_cuaca_lag7_hujan,1.0,12-117,12-118,12-118,433.109375,34.0,
12,61,12-61,depok_air_lag8,155.0,12-119,12-120,12-120,2444.5,1590.0,
12,62,12-62,depok_cuaca_lag1_hujan,1.0,12-121,12-122,12-122,1860.11523,110.0,
12,63,12-63,Leaf,,,,,-19.1889877,1.0,
